customer_id,area,registration_date,customer_segment,total_orders,avg_order_value
97475543,Udupi,13-05-2023,Premium,13,451.92
22077605,Aligarh,18-06-2024,Inactive,4,825.48
47822591,Begusarai,25-09-2024,Regular,17,1969.81
79726146,Kozhikode,04-10-2023,New,4,220.09
57102800,Ichalkaranji,22-03-2024,Inactive,14,578.14
54748429,Visakhapatnam,22-04-2024,New,2,669.35
49152878,Gwalior,13-09-2024,Premium,4,973.62
16379942,Orai,10-04-2024,Inactive,15,1370.56
11071601,Buxar,04-07-2023,Inactive,17,1950.54
68164013,Malegaon,29-06-2023,New,1,1061.82
80404839,Katni,13-04-2023,Inactive,10,1537.35
27038630,Fatehpur,27-04-2023,Regular,11,1307.28
1655637,Ichalkaranji,17-09-2023,Regular,19,723.95
75566105,Hyderabad,20-03-2024,Regular,18,1432.53
23961725,Bhiwandi,11-05-2024,Regular,6,367.74
67749649,Mira-Bhayandar,10-04-2024,Inactive,11,281.16
61461253,Amravati,29-08-2024,Inactive,4,789.5
30619659,Kochi,18-09-2024,Inactive,14,1992.42
50229203,Tiruchirappalli,14-09-2023,Regular,7,1731.87
13567338,Hubli–Dharwad,14-10-2024,Premium,10,1054.12
7591711,Nagercoil,30-01-2024,Regular,12,1494
22102079,Alwar,21-06-2024,Premium,10,615.86
48910430,Bardhaman,04-09-2024,Premium,3,1474.04
27604184,Nandyal,06-10-2023,New,9,1108.86
79672044,Hapur,17-12-2023,New,8,1115.88
13461704,Nanded,04-04-2024,Premium,4,1024.45
66135710,Ramgarh,28-11-2023,New,6,308.63
50572914,Bihar Sharif,21-10-2023,Regular,20,701.55
4386273,Nandyal,26-06-2024,Inactive,12,298.97
57537308,Jorhat,18-05-2024,New,8,1641.88
34526442,Raipur,27-09-2023,Regular,14,1956.45
67383024,Kollam,10-04-2024,Premium,14,1240.9
28350645,Ratlam,12-01-2024,Inactive,9,553
81940369,Nellore,24-02-2024,Premium,10,316.79
89950235,Warangal,24-12-2023,Premium,13,1179.29
88202341,Kottayam,20-08-2023,Inactive,9,644.06
41155125,Tenali,22-04-2024,Inactive,14,1454.3
46369552,Jaipur,16-09-2024,Regular,17,456.51
48943848,Patiala,21-06-2024,Premium,13,245.46
39645619,Maheshtala,17-06-2023,Regular,13,1512.4
76917159,Ludhiana,23-06-2024,Premium,11,1777.83
72366758,Ichalkaranji,19-11-2023,Inactive,9,513.7
66140659,Ongole,09-12-2023,Premium,8,509.85
87457446,Katihar,02-07-2024,Premium,7,1301.39
10830043,Hospet,15-10-2023,New,9,899.6
97150234,Bihar Sharif,22-11-2023,New,13,1527.55
72489544,Siwan,19-09-2024,Inactive,17,1600.17
81352781,Dehradun,27-02-2024,Regular,4,564.55
88130777,North Dumdum,17-10-2023,New,16,301.23
65294340,Jamalpur,16-04-2024,New,17,356.29
40387944,Parbhani,15-03-2024,Regular,10,569.91
91868185,Srinagar,15-10-2023,New,1,1657.84
31846190,Kolkata,08-09-2024,New,4,1176.18
15529446,Haridwar,10-10-2023,Premium,9,854.35
20956158,Kavali,10-03-2024,Premium,7,312.69
68159723,Orai,21-05-2024,New,6,1214.62
48554440,Malegaon,28-03-2024,Regular,17,1354.99
966247,Junagadh,16-11-2023,Inactive,13,1110.76
40015980,Katni,28-06-2023,New,18,1031.91
63262519,Karaikudi,21-02-2024,Regular,10,607.45
81763298,Ichalkaranji,29-07-2023,Premium,1,1747.14
49985597,Kishanganj,06-08-2024,Regular,3,775.73
21282544,Jaunpur,28-08-2024,Regular,16,657.98
78868716,Madhyamgram,10-12-2023,Inactive,5,1774.41
30733165,Ujjain,10-05-2024,Inactive,10,1609.11
78678612,Mehsana,20-06-2024,Premium,1,795.06
48511124,Korba,15-05-2023,Inactive,10,1076.14
26412689,Bahraich,13-06-2024,Regular,1,1700.46
26303194,Pali,29-04-2023,Premium,18,1045.94
93735495,Jehanabad,23-05-2023,Regular,7,871.15
8395610,Erode,23-03-2024,Inactive,18,294.53
41640262,Ulhasnagar,17-08-2023,Inactive,9,1805.87
60618999,Pudukkottai,28-07-2024,Regular,15,1631.96
77220027,Coimbatore,11-12-2023,Premium,16,551.81
32019725,Panchkula,19-01-2024,Premium,19,1169.96
38709137,Mau,07-07-2023,Inactive,18,1307.64
11540364,Firozabad,24-09-2024,New,20,517.32
59207798,Ballia,02-07-2023,Premium,4,1441.64
10797688,Bathinda,22-05-2023,New,7,1017.39
88965399,Guntur,28-05-2024,Regular,3,1144.21
10608845,Bhilwara,29-03-2024,Premium,2,735.36
28603182,South Dumdum,02-08-2024,New,11,490.13
1152215,Dhanbad,27-05-2024,Inactive,2,1637.43
24357425,Farrukhabad,17-07-2024,Inactive,6,798.18
93924203,Jorhat,21-04-2023,Premium,18,1360.15
61406908,Deoghar,24-12-2023,Regular,1,458.39
78841932,Guna,19-04-2024,Inactive,4,979.63
67310893,Chennai,10-04-2024,New,19,1592.94
666589,Morbi,31-07-2023,Regular,15,465.38
73639935,Medininagar,21-09-2023,Inactive,10,360.91
51592174,Secunderabad,11-08-2023,New,2,794.83
12338529,Bangalore,03-10-2024,New,11,347.1
81757554,Shimoga,18-04-2024,Premium,12,1815.02
95372766,Latur,15-01-2024,Regular,9,629.05
28111842,Tirunelveli,09-09-2024,Premium,8,1892.45
27878182,Thoothukudi,30-03-2023,Inactive,1,1023.51
27353891,Parbhani,25-06-2023,Premium,20,1110.61
19179897,Orai,14-08-2023,Premium,18,1491.58
63630649,Vijayawada,02-09-2023,Premium,8,1626.79
16359370,South Dumdum,05-12-2023,Premium,1,1352.7
92123198,Bidar,30-08-2023,Regular,8,224.01
77306672,Motihari,16-09-2024,Regular,20,456.24
67696145,Bettiah,06-06-2023,Regular,18,482.94
29902416,Tenali,17-07-2023,Inactive,18,1010.11
11446157,Shimoga,18-09-2024,Inactive,8,400.97
84377964,Tezpur,24-10-2024,Inactive,13,1458.37
12591752,Singrauli,28-05-2023,Inactive,14,740.4
4940671,Silchar,17-06-2024,Inactive,7,494.03
88111697,Ballia,30-01-2024,Regular,4,1731.14
98241853,Vellore,25-04-2024,Premium,19,1203.76
75482,Korba,19-09-2024,Regular,13,1938.38
6291143,Yamunanagar,05-08-2023,Inactive,19,1934.37
20209237,Shimoga,11-02-2024,Regular,19,1121.1
85435560,Ludhiana,28-07-2024,Inactive,8,1309
68063317,Muzaffarnagar,21-10-2024,Inactive,4,1316.23
82594354,Avadi,04-01-2024,Regular,7,321.8
51040116,Berhampur,14-11-2023,Regular,11,783.03
78053306,Visakhapatnam,27-06-2024,Inactive,6,1037.09
66761643,Anand,07-05-2023,Regular,20,1432.01
81932548,Etawah,31-10-2024,Premium,12,1508.41
19682060,Jehanabad,12-02-2024,Inactive,4,850.2
1719710,Giridih,26-06-2023,New,2,1332.82
74195536,Amaravati,09-10-2024,Premium,5,650.62
15534747,Kadapa,19-09-2023,Inactive,15,362.34
95558510,Bhind,25-06-2023,Inactive,5,466.28
767523,Vasai-Virar,27-05-2023,Inactive,13,1737.28
55056284,Ichalkaranji,13-05-2024,Inactive,11,373.44
86167288,Nagpur,14-08-2023,Inactive,1,1049.94
96511007,Dindigul,26-06-2024,New,14,1243.4
31084686,Aurangabad,20-06-2024,Regular,4,893.55
99594960,Madanapalle,12-06-2023,Inactive,16,1475.23
53815931,Jaipur,19-07-2023,Inactive,17,1739.94
21597477,Bhopal,21-09-2023,Inactive,18,246.42
243838,Visakhapatnam,16-05-2024,New,11,1158.27
15484407,Kakinada,11-06-2024,Premium,18,560.95
21677923,Kakinada,18-07-2023,New,17,465.55
24845814,Raipur,31-03-2023,Regular,17,423.79
99893898,Berhampore,22-11-2023,New,16,365.4
95856869,Tirupati,08-03-2024,New,12,531.83
40275138,Bathinda,05-01-2024,Inactive,18,1468.32
12814732,Karaikudi,26-05-2023,Regular,8,1473.36
4057678,Kadapa,27-05-2023,Inactive,19,882.63
46682777,Medininagar,02-07-2024,Inactive,10,600.09
10562528,Udaipur,11-07-2024,Premium,12,887.02
31978160,Saharanpur,01-05-2024,New,8,1881.61
14207332,Aligarh,03-01-2024,Regular,18,1263.17
76019750,Thiruvananthapuram,04-01-2024,New,20,310.83
36833857,Silchar,26-02-2024,Premium,7,1882.18
84275450,Nellore,10-03-2024,Premium,17,239.05
6367136,Rohtak,17-02-2024,Regular,18,1662.44
27049432,Nagaon,08-07-2023,Premium,1,1866.16
69863493,Junagadh,09-06-2023,Regular,6,1620.01
35349582,Bhilai,28-01-2024,Premium,6,932.85
20148223,Kamarhati,26-05-2023,Inactive,5,599.99
46684081,Ghaziabad,01-04-2023,Premium,11,1225.01
49795571,Loni,08-03-2024,Premium,13,401.72
44935198,Tumkur,05-12-2023,New,14,973.32
74515162,Durgapur,19-08-2024,New,10,1605.13
54885705,Amritsar,30-03-2024,Premium,13,432.05
96793479,Ambarnath,23-08-2024,Inactive,18,1185.01
87335844,Shivpuri,29-06-2023,Premium,11,1770.89
67340606,Tirunelveli,20-06-2024,Premium,6,263.58
72667140,Mysore,30-07-2023,Premium,9,1106.22
71956734,Adoni,04-07-2024,New,8,1219.73
8536503,Ramagundam,19-04-2023,Regular,9,399.57
70179018,Bhiwani,11-09-2024,New,5,1725.79
68219091,Ongole,04-10-2024,Regular,16,529.87
71890882,Fatehpur,16-03-2024,Premium,6,907.37
44928499,Ramgarh,09-04-2023,New,10,915.27
35302195,Maheshtala,03-04-2023,New,16,420.19
25641500,Sultan Pur Majra,20-10-2024,Premium,18,241.19
29272253,Kolhapur,19-09-2024,New,18,1282.7
30643619,Shimla,31-03-2024,Inactive,5,1084.47
40800762,Pallavaram,30-10-2023,Inactive,10,1781.9
